time [s],distance [m]
2.131,7.251
2.133,7.270
2.136,7.214
2.138,7.223
2.140,7.261
2.143,7.364
2.145,7.373
2.147,7.411
2.150,7.383
2.152,7.420
2.154,7.420
2.157,7.430
2.159,7.458
2.161,7.430
2.164,7.476
2.166,7.458
2.169,7.458
2.171,7.467
2.173,7.467
2.176,7.486
2.178,7.458
2.180,7.467
2.183,7.514
2.185,7.505
2.187,7.533
2.190,7.523
2.192,7.580
2.194,7.551
2.197,7.598
2.199,7.627
2.201,7.645
2.204,7.655
2.206,7.664
2.208,7.627
2.211,7.720
2.213,7.730
2.215,7.711
2.218,7.758
2.220,7.767
2.223,7.758
2.225,7.814
2.227,7.805
2.230,7.814
2.232,7.805
2.234,7.889
2.237,7.861
2.239,7.861
2.241,7.870
2.244,7.917
2.246,7.936
2.248,7.964
2.251,7.964
2.253,8.011
2.255,7.974
2.258,8.011
2.260,8.067
2.262,8.077
2.265,8.077
2.267,8.114
2.269,8.096
2.272,8.142
2.274,8.133
2.276,8.171
2.279,8.236
2.281,8.227
2.284,8.218
2.286,8.218
2.288,8.180
2.291,8.274
2.293,8.246
2.295,8.264
2.298,8.274
2.300,8.293
2.302,8.311
2.305,8.302
2.307,8.349
2.309,8.311
2.312,8.311
2.314,8.349
2.316,8.377
2.319,8.321
2.321,8.349
2.323,8.358
2.326,8.405
2.328,8.377
2.330,8.386
2.333,8.405
2.335,8.405
2.338,8.480
2.340,8.443
2.342,8.443
2.345,8.433
2.347,8.490
2.349,8.499
2.352,8.499
2.354,8.508
2.356,8.518
2.359,8.574
2.361,8.583
2.363,8.574
2.366,8.602
2.368,8.583
2.370,8.668
2.373,8.649
2.375,8.649
2.377,8.677
2.380,8.724
2.382,8.733
2.384,8.752
2.387,8.790
2.389,8.780
2.392,8.790
2.394,8.837
2.396,8.884
2.399,8.930
2.401,8.921
2.403,8.940
2.406,9.015
2.408,8.987
2.410,9.015
2.413,9.090
2.415,9.099
2.417,9.099
2.420,9.109
2.422,9.146
2.424,9.156
2.427,9.146
2.429,9.146
2.431,9.156
2.434,9.156
2.436,9.165
2.438,9.174
2.441,9.184
2.443,9.193
2.446,9.240
2.448,9.240
2.450,9.221
2.453,9.240
2.455,9.231
2.457,9.287
2.460,9.268
2.462,9.306
2.464,9.315
2.467,9.362
2.469,9.343
2.471,9.371
2.474,9.362
2.476,9.399
2.478,9.484
2.481,9.428
2.483,9.446
2.485,9.484
2.488,9.484
2.490,9.446
2.492,9.493
2.495,9.550
2.497,9.550
2.500,9.587
2.502,9.550
2.504,9.578
2.507,9.568
2.509,9.559
2.511,9.615
2.514,9.662
2.516,9.653
2.518,9.700
2.521,9.634
2.523,9.747
2.525,9.700
2.528,9.756
2.530,9.747
2.532,9.784
2.535,9.803
2.537,9.737
2.539,9.793
2.542,9.822
2.544,9.831
2.546,9.850
2.549,9.869
2.551,9.878
2.554,9.906
2.556,9.887
2.558,9.962
2.561,9.915
2.563,9.887
2.565,9.944
2.568,9.925
2.570,9.934
2.572,9.944
2.575,9.962
2.577,9.981
2.579,10.037
2.582,10.009
2.584,10.028
2.587,10.066
2.589,10.075
2.592,10.028
2.594,10.075
2.596,10.075
2.599,10.103
2.601,10.131
2.604,10.131
2.606,10.159
2.609,10.187
2.611,10.187
2.614,10.225
2.616,10.225
2.618,10.225
2.621,10.263
2.623,10.338
2.626,10.366
2.628,10.309
2.631,10.356
2.633,10.403
2.636,10.394
2.638,10.431
2.640,10.459
2.643,10.506
2.645,10.516
2.648,10.535
2.650,10.553
2.653,10.591
2.655,10.553
2.658,10.600
2.660,10.581
2.663,10.638
2.665,10.675
2.667,10.703
2.670,10.694
2.672,10.732
2.675,10.750
2.677,10.778
2.680,10.722
2.682,10.807
2.685,10.816
2.687,10.816
2.689,10.900
2.692,10.882
2.694,10.882
2.697,10.900
2.699,10.900
2.702,10.910
2.704,10.947
2.707,11.004
2.709,10.966
2.712,11.004
2.714,11.022
2.716,11.013
2.719,11.050
2.721,11.097
2.724,11.116
2.726,11.135
2.729,11.135
2.731,11.126
2.734,11.172
2.736,11.182
2.738,11.191
2.741,11.229
2.743,11.238
2.746,11.294
2.748,11.247
2.751,11.276
2.753,11.332
2.756,11.341
2.758,11.341
2.760,11.379
2.763,11.369
2.765,11.351
2.768,11.435
2.770,11.416
2.773,11.426
2.775,11.454
2.778,11.435
2.780,11.473
2.783,11.501
2.785,11.538
2.787,11.510
2.790,11.548
2.792,11.623
2.795,11.585
2.797,11.632
2.800,11.641
2.802,11.623
2.805,11.613
2.807,11.679
2.809,11.707
2.812,11.726
2.814,11.735
2.817,11.745
2.819,11.773
2.822,11.792
2.824,11.810
2.827,11.820
2.829,11.829
2.832,11.829
2.834,11.810
2.836,11.904
2.839,11.885
2.841,11.904
2.844,11.951
2.846,11.942
2.849,11.942
2.851,11.960
2.854,12.007
2.856,11.970
2.858,12.007
2.861,12.082
2.863,12.035
2.866,12.045
2.868,12.073
2.871,12.111
2.873,12.082
2.876,12.148
2.878,12.129
2.881,12.120
2.883,12.111
2.885,12.129
2.888,12.195
2.890,12.148
2.893,12.176
2.895,12.223
2.898,12.186
2.900,12.204
2.903,12.251
2.905,12.270
2.907,12.251
2.910,12.307
2.912,12.326
2.915,12.354
2.917,12.345
2.920,12.298
2.922,12.336
2.925,12.289
2.927,12.307
2.929,12.307
2.932,12.317
2.934,12.307
2.937,12.307
2.939,12.373
2.942,12.448
2.944,12.514
2.947,12.542
2.949,12.589
2.952,12.617
2.954,12.598
2.956,12.673
2.959,12.683
2.961,12.767
2.964,12.777
2.966,12.758
2.969,12.805
2.971,12.908
2.974,12.786
2.976,12.889
2.978,12.870
2.981,12.861
2.983,12.889
2.986,12.917
2.988,12.889
2.991,12.898
2.993,13.011
2.996,12.917
2.998,12.992
3.001,12.945
3.003,12.964
3.005,13.011
3.008,13.049
3.010,13.086
3.013,13.058
3.015,13.039
3.018,13.095
3.020,13.058
3.023,13.020
3.025,13.039
3.027,13.105
3.030,13.105
3.032,13.105
3.035,13.171
3.037,13.161
3.040,13.161
3.042,13.133
3.045,13.189
3.047,13.227
3.049,13.236
3.052,13.246
3.054,13.311
3.057,13.368
3.059,13.414
3.062,13.414
3.064,13.433
3.067,13.527
3.069,13.546
3.071,13.621
3.074,13.583
3.076,13.630
3.079,13.602
3.081,13.668
3.084,13.705
3.086,13.630
3.089,13.743
3.091,13.705
3.094,13.799
3.096,13.780
3.098,13.855
3.101,13.827
3.103,13.808
3.106,13.837
3.108,13.883
3.111,13.893
3.113,13.940
3.116,13.893
3.118,13.930
3.120,13.977
3.123,13.987
3.125,13.968
3.128,13.996
3.130,14.034
3.133,14.024
3.135,14.034
3.138,14.024
3.140,14.109
3.142,14.062
3.145,14.127
3.147,14.146
3.150,14.146
3.152,14.184
3.155,14.184
3.157,14.193
3.160,14.249
3.162,14.146
3.165,14.240
3.167,14.249
3.169,14.296
3.172,14.287
3.174,14.287
3.177,14.334
3.179,14.334
3.182,14.352
3.184,14.399
3.187,14.381
3.189,14.409
3.191,14.409
3.194,14.418
3.196,14.465
3.199,14.465
3.201,14.493
3.204,14.503
3.206,14.512
3.209,14.549
3.211,14.568
3.214,14.625
3.216,14.578
3.218,14.681
3.221,14.681
3.223,14.671
3.226,14.709
3.228,14.765
3.231,14.746
3.233,14.765
3.236,14.793
3.238,14.803
3.240,14.784
3.243,14.831
3.245,14.831
3.248,14.868
3.250,14.803
3.253,14.925
3.255,14.925
3.258,14.897
3.260,14.934
3.262,14.962
3.265,14.990
3.267,15.019
3.270,14.990
3.272,15.037
3.275,15.112
3.277,15.047
3.280,15.094
3.282,15.103
3.285,15.187
3.287,15.159
3.289,15.150
3.292,15.187
3.294,15.206
3.297,15.216
3.299,15.262
3.302,15.291
3.304,15.281
3.307,15.281
3.309,15.337
3.311,15.337
3.314,15.356
3.316,15.328
3.319,15.337
3.321,15.394
3.324,15.394
3.326,15.422
3.329,15.431
3.331,15.422
3.334,15.478
3.336,15.525
3.338,15.497
3.341,15.516
3.343,15.544
3.346,15.563
3.348,15.581
3.351,15.572
3.353,15.619
3.356,15.619
3.358,15.647
3.360,15.703
3.363,15.675
3.365,15.713
3.368,15.760
3.370,15.731
3.373,15.807
3.375,15.778
3.378,15.797
3.380,15.853
3.383,15.872
3.385,15.872
3.387,15.882
3.390,15.882
3.392,15.919
3.395,15.947
3.397,16.013
3.400,16.013
3.402,15.966
3.405,16.060
3.407,16.060
3.409,16.022
3.412,16.069
3.414,16.069
3.417,16.107
3.419,16.079
3.422,16.144
3.424,16.116
3.427,16.191
3.429,16.219
3.431,16.219
3.434,16.266
3.436,16.219
3.439,16.200
3.441,16.172
3.444,16.229
3.446,16.191
3.449,16.219
3.451,16.229
3.454,16.266
3.456,16.257
3.458,16.294
3.461,16.304
3.463,16.322
3.466,16.332
3.468,16.351
3.471,16.397
3.473,16.388
3.476,16.397
3.478,16.416
3.480,16.426
3.483,16.463
3.485,16.435
3.488,16.463
3.490,16.482
3.493,16.548
3.495,16.557
3.498,16.557
3.500,16.585
3.502,16.594
3.505,16.679
3.507,16.660
3.510,16.735
3.512,16.735
3.515,16.791
3.517,16.745
3.520,16.867
3.522,16.810
3.525,16.801
3.527,16.867
3.529,16.848
3.532,16.895
3.534,16.932
3.537,17.007
3.539,17.026
3.542,16.988
3.544,17.017
3.547,17.026
3.549,17.045
3.551,17.073
3.554,17.120
3.556,17.092
3.559,17.148
3.561,17.204
3.564,17.167
3.566,17.251
3.569,17.223
3.571,17.185
3.573,17.232
3.576,17.185
3.578,17.232
3.581,17.279
3.583,17.317
3.586,17.279
3.588,17.279
3.591,17.354
3.593,17.307
3.596,17.345
3.598,17.392
3.600,17.317
3.603,17.336
3.605,17.382
3.608,17.373
3.610,17.401
3.613,17.429
3.615,17.458
3.618,17.429
3.620,17.411
3.622,17.401
3.625,17.429
3.627,17.504
3.630,17.504
3.632,17.598
3.635,17.655
3.637,17.692
3.640,17.673
3.642,17.898
3.645,17.992
